Business Terms,Column_header,Table
Nation key,N_NATIONKEY,WKC_NATION
Nation name,N_NAME,WKC_NATION
Region key,N_REGIONKEY,WKC_NATION
Comment,N_COMMENT,WKC_NATION
Region key,R_REGIONKEY,WKC_REGION
Region name,R_NAME,WKC_REGION
Comment,R_COMMENT,WKC_REGION
Part key,P_PARTKEY,WKC_PART
Part name,P_NAME,WKC_PART
Part mfgr,P_MFGR,WKC_PART
Part brand,P_BRAND,WKC_PART
Part type,P_TYPE,WKC_PART
Part size,P_SIZE,WKC_PART
Part container,P_CONTAINER,WKC_PART
Part retailprice,P_RETAILPRICE,WKC_PART
Comment,P_COMMENT,WKC_PART
Supplier key,S_SUPPKEY,WKC_SUPPLIER
Supplier name,S_NAME,WKC_SUPPLIER
Supplier address,S_ADDRESS,WKC_SUPPLIER
Nation key,S_NATIONKEY,WKC_SUPPLIER
Supplier phone,S_PHONE,WKC_SUPPLIER
Supplier account balance,S_ACCTBAL,WKC_SUPPLIER
Comment,S_COMMENT,WKC_SUPPLIER
Part key,PS_PARTKEY,WKC_PARTSUPP
Supplier key,PS_SUPPKEY,WKC_PARTSUPP
Supplier available Quantity,PS_AVAILQTY,WKC_PARTSUPP
Supplier part cost,PS_SUPPLYCOST,WKC_PARTSUPP
Comment,PS_COMMENT,WKC_PARTSUPP
Customer key,C_CUSTKEY,WKC_CUSTOMER
Customer name,C_NAME,WKC_CUSTOMER
Customer addresss,C_ADDRESS,WKC_CUSTOMER
Nation key,C_NATIONKEY,WKC_CUSTOMER
Customer phone,C_PHONE,WKC_CUSTOMER
Customer account balance,C_ACCTBAL,WKC_CUSTOMER
Customer market segment,C_MKTSEGMENT,WKC_CUSTOMER
Comment,C_COMMENT,WKC_CUSTOMER
Order key,O_ORDERKEY,WKC_ORDER
Customer key,O_CUSTKEY,WKC_ORDER
Order status,O_ORDERSTATUS,WKC_ORDER
Order total price,O_TOTALPRICE,WKC_ORDER
Order date,O_ORDERDATE,WKC_ORDER
Order priority,O_ORDERPRIORITY,WKC_ORDER
Order clerk,O_CLERK,WKC_ORDER
Order ship priority,O_SHIPPRIORITY,WKC_ORDER
Comment,O_COMMENT,WKC_ORDER
Order key,L_ORDERKEY,WKC_LINEITEM
Part key,L_PARTKEY,WKC_LINEITEM
Supplier key,L_SUPPKEY,WKC_LINEITEM
Linenumber,L_LINENUMBER,WKC_LINEITEM
Linenumber quantity,L_QUANTITY,WKC_LINEITEM
Linenumber extended price,L_EXTENDEDPRICE,WKC_LINEITEM
Linenumber discount,L_DISCOUNT,WKC_LINEITEM
Lininumber tax,L_TAX,WKC_LINEITEM
Linenumber return flag,L_RETURNFLAG,WKC_LINEITEM
Linenumber status,L_LINESTATUS,WKC_LINEITEM
Linenumber ship date,L_SHIPDATE,WKC_LINEITEM
Linenumber commit date,L_COMMITDATE,WKC_LINEITEM
Linenumber receipt date,L_RECEIPTDATE,WKC_LINEITEM
Linenumber ship instruction,L_SHIPINSTRUCT,WKC_LINEITEM
Linenumber ship mode,L_SHIPMODE,WKC_LINEITEM
Comment,L_COMMENT,WKC_LINEITEM
